TF_SYNPCC7942_RS03465
TF_SYNPCC7942_RS04950
TF_SYNPCC7942_RS03160
TF_SYNPCC7942_RS11790
TF_SYNPCC7942_RS08885
TF_SYNPCC7942_RS04430
TF_SYNPCC7942_RS12500
TF_SYNPCC7942_RS02945
TF_SYNPCC7942_RS00455
TF_SYNPCC7942_RS10340
TF_SYNPCC7942_RS00480
TF_SYNPCC7942_RS08035
TF_SYNPCC7942_RS06700
TF_SYNPCC7942_RS09380
TF_SYNPCC7942_RS05680
TF_SYNPCC7942_RS05180
TF_SYNPCC7942_RS06230
TF_SYNPCC7942_RS08380
TF_SYNPCC7942_RS00560
TF_SYNPCC7942_RS09435
TF_SYNPCC7942_RS09065
TF_SYNPCC7942_RS03075
TF_SYNPCC7942_RS00645
TF_SYNPCC7942_RS06905
TF_SYNPCC7942_RS07435
TF_SYNPCC7942_RS03440
TF_SYNPCC7942_RS03605
TF_SYNPCC7942_RS02895
TF_SYNPCC7942_RS06625
TF_SYNPCC7942_RS05940
TF_SYNPCC7942_RS09760
TF_SYNPCC7942_RS07940
TF_SYNPCC7942_RS04940
TF_SYNPCC7942_RS11420
TF_SYNPCC7942_RS03325
TF_SYNPCC7942_RS10165
TF_SYNPCC7942_RS05640
TF_SYNPCC7942_RS04175
TF_SYNPCC7942_RS03530
TF_SYNPCC7942_RS02830
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
51
52
53
54
55
56
57
58
59
60
61
62
Light
Hour_Sin
Hour_Cos
