,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
SYNPCC7942_RS00005,0.012990391836047603,-0.012619778376051306,0.00501255692124081,0.0015984497774447892,-0.004917383360861494,0.00011527866993366322,-0.00029059386344057697,-0.003954365761427877,0.0003051920808782305,-0.005015947615124625,-0.0022852900718341148,0.0036439199809680644,0.006412593300815582,-0.0005670920397780723,0.0015975800750753116,-0.012495957138073166,-4.007458511223837e-05,-4.982580462581135e-05,-0.0038717535549451666,-0.023480783048342058,-0.025037954082535303,0.007557419540207048,4.6036628392641854e-05,0.0005854659458924622,-0.007536713817547777,-0.007458743217921198,-0.00036924632428058784,0.002114131391177006,-0.007293941737582137,-0.008891270576026632,0.008049781369981508,-0.00732300234155893,-0.0016331169869894147,0.0036897587582878253,-0.0031921022729283705,0.013659724604119891,-2.5450935674944844e-05,0.005283237305558592,-0.01603778978169187,0.006977418418732145,0.0017579141551041662,-0.006099698965516585,-0.011480017517712162,0.010728258548676928,0.005303455355338397,-0.0017991840927871364,0.012041201050858463,-0.00934768137604004,-0.011002470093070026,0.04266485830540975,0.005697754637423035,0.003480624131407693,-0.014990098302111385,-0.009673032399017548,0.00022790786246655042,0.00125081342974682,-0.00030181913769925835,-0.006253279102424822,-0.015870858541204416,0.0012548889393111894,-0.016368527439270718,-0.0023623012052490133,-0.009995445696456525
SYNPCC7942_RS00010,-0.009249136102848603,-0.006333823923038379,0.007420036258571001,0.004744576530883158,-0.0026489046133439786,0.003149100659601561,-0.0008421685749370204,-0.022317192999781438,0.0015237034124529205,-0.00641644956415006,0.016623598144920745,-0.000757196520320335,-0.0057849226659266555,0.002445603731058865,0.0013615239748252456,-3.999163606405482e-05,0.02549876474160015,-0.01230827121882363,-0.0010091602936923279,-0.0003853722875244057,-0.003579178205539585,-0.00974322311707768,-0.003361884255393623,-0.01936366259250806,-0.009436946626248164,-0.004561969752116472,-0.0021665008045797115,-0.003243882535866979,0.011381796471912141,-0.004035314027383803,-0.005115550748778873,-0.005910846613562282,-0.00751011522794734,-0.0010476992305973364,0.0036080246504492843,-0.010107824254947021,-0.000704033414340264,0.016825476007469243,-0.03154294606446871,-0.015721612443132506,0.0030857514350419372,-0.0020071073578451985,-0.003270035401438391,-0.003032534091741418,-0.009817238819391729,-0.009829977896902004,0.01251587010389151,0.011051525400516697,-0.00204507431649436,0.016611969379546575,0.005523915973971997,-0.009728389228928873,0.001388025123598264,-0.0027025518116444427,-0.0028880966484494753,0.009065194331456552,0.006732941230036591,-0.01881594369478809,0.001318839581063993,-0.014196219566785103,-0.0009433693925171861,0.0009365381839364767,0.006953447534999763
SYNPCC7942_RS00015,0.0009144500605566756,0.004465011596605863,-0.018231200479162595,-0.004476298604574449,-0.000601661838547764,-0.003914365564143603,-0.008151340836480099,0.0013574340520645615,-0.00566216410778137,0.0014617255200904487,-0.004215980736678986,-0.0027591702935572714,-0.010602385495415804,-0.0036615898231441408,-0.005097509317339761,-0.00328631700567117,0.0040841789389375995,-0.0023205179828320044,0.0006730075206577041,-0.0013411734858165638,0.0033000418717481434,-0.002338019510714036,-0.0071776879168958,0.004603778343051032,0.0008998030706948286,0.006201305202197388,-0.009030158542514245,0.0045979243807633815,0.0007490938788895819,0.003299548718550455,0.001821722407655086,0.0009127679553040078,-0.0019427228800338553,0.008389941485493194,-0.010466573246443713,0.0017985828999976666,-0.011776362871881663,-0.018441161908682575,0.0011697838595623477,0.0027037597543328987,-0.007882443617189133,-0.0049973340841573954,0.007329488589445066,0.009186955209387724,0.002036425358506955,0.004038483533922513,-0.004258424980284695,-0.01153557901721445,-0.00453568662380881,0.0002616026416631693,-0.004131288608098074,-0.005759208619866147,0.0016120000091275589,-0.0025636979145161245,-0.005555276891937388,0.0003576112912792982,0.007611981231876099,0.0037725109779125276,0.004727289922811682,-0.006280118606990648,0.001941870356980196,-0.01392356839771878,-0.0009339546826039788
SYNPCC7942_RS00020,0.0028888617358840216,0.030615508788140025,-0.029183513943371025,0.005579787748498021,-0.0046000648086163476,-0.003954694620643931,-0.015104832887532062,-0.0122063800882158,0.006671970964914778,0.011288125704621356,0.0029088426153980936,-0.013252202208904763,-0.01899722711706569,-0.004339533615896248,-0.013626779092052699,0.008291795551605956,-0.0004572229162065843,0.0033686379096288166,-0.002194119822933679,-0.001963517958690066,-0.008415951806183552,-0.008997274301784158,-0.004107251886278538,-0.004705313848979252,-0.0028506172958072886,0.0021371226619204663,-0.006195169639498874,-0.010474606902953399,-0.007445308716270368,0.016031450651659507,0.01944792596086084,-0.0065713611851577446,-0.003441777553459989,0.0018864227477484539,-0.005316139182054464,-0.017646680265142795,-0.0010684626951307607,0.008324454072091217,-0.006141766520948395,0.010865792672752951,-0.0048928432381162325,-0.011248642672293443,0.0017950703109152594,0.007925401222398336,-0.00907268572674242,0.0035495824643684633,-0.010979405171187865,-0.0030078138860219488,-0.002087415091872659,-0.01360514275468443,-0.05086410839765171,-0.014029412050867225,0.004753550348081276,0.002303805575032924,-0.0074515446009312475,0.00018004603725865596,0.001843986439900817,0.014606294215608958,0.009023817882611335,-0.013875453229666036,0.01707104149399697,-0.01146013598258558,-0.0073263234018166494
SYNPCC7942_RS00025,-0.023577550154393726,-0.012067764537000996,-0.03247800851735655,0.0017621730116519484,0.009345384248924768,-0.0017433939225626948,0.008408694478316287,-0.005046631664428947,-0.008754128218399698,-0.020756472165766073,-0.0016896368627163647,-0.017476266532908336,0.016083095757981353,0.006325361442632681,-0.008595323913996183,-0.01663474015420611,-0.002527328643160186,-0.013093767723149772,0.0035324417203111956,-0.0041784907875363495,-0.008817280473335408,-0.021537881796310842,0.004105016265671074,-0.012665884569438225,-0.014827293023414304,0.00765472724860552,-0.013144855680972668,-0.003342258948784421,-0.016570540950846542,0.013810851910808499,0.04052276368838498,-0.006902594449242716,-0.00355248879772523,0.00963032700597697,-0.0177962612377997,0.00540097133255483,0.010376344436165481,-0.02407016138213726,-0.003067487803385671,-0.0030798746512236326,-0.021429725992061582,0.011595740442732419,0.012985428632550184,-0.008037380981155055,-0.01063190488319041,-0.0006767327761494543,0.0008147339364575064,-0.009520084334323057,0.006977588158320761,-0.022682255037722244,-0.02201638000329503,-0.01681275914608641,0.015633099790960166,0.006210012954086277,0.02861706010834217,0.0058772535355220016,-0.008388055469544296,-0.0027198075093651038,-0.013493780394927895,-0.00491980765794241,0.002173873097870426,-0.01602770395255292,-0.02109431161020012
SYNPCC7942_RS00030,-0.016046812542473983,-0.022261229865531404,0.0008573676545180214,-0.010941740637201977,0.019130244334617116,-0.010161717150069584,0.00435904765105573,-0.00037172326069510176,-0.01744156305282079,0.01246914843089828,-0.0010597110067200226,0.012939911125609337,0.026920691499060782,0.007090606780724285,-0.020944296602295784,0.010329153915687554,0.050284608726398505,-0.010196937073115033,0.04669071646845443,-0.011465987071006782,-0.026412813965929725,0.003015389239018248,-0.009225353342684317,0.0011840846059724035,0.005182561053800067,-0.01125760093005884,-0.008051041282099845,-0.027301825203432346,-0.02257475856117278,-0.014502222368706812,-0.025800019261184706,-0.007228798287411733,0.01687528130939417,0.017081263548128764,-0.00054896726697883,0.006553406912505677,0.021276681404934775,-0.005732798837092426,0.001133921709948277,-0.04465818952220069,0.0007019898838728375,0.01292576563900013,-3.808588027662183e-05,-0.011556060747879135,0.005585593977131472,-4.339884362537864e-05,0.03657113157359511,0.02475325003006009,-0.00020632273548073284,-0.04770311384852379,-0.004592824230518995,0.0012145445978737632,0.00394689464000871,-0.04462670920723043,0.03940715090644301,0.02500395222921164,0.021578631835129165,-0.004961937506947951,0.01798139285905744,-0.0012818072808677403,0.0036808397568001833,-0.022786151707872127,-0.03077962429196385
SYNPCC7942_RS00035,0.014727721806090917,0.005687077164660151,-0.0018402059596878617,0.0002400640263041899,-0.016338558645081425,-0.004224801809856504,0.009109124573338633,0.02112252494721199,-0.01512098713207431,0.0076431240535815926,-0.02942211440019231,-0.01778064492150665,0.01099485166934846,-0.005428696479858962,0.009546571483448101,-0.008003696827490327,-0.015305880398363655,-0.01960774176768762,-0.007498308789882693,-0.0017857848451187318,0.012116252368905685,-0.014593737601773633,-0.0008363246421968624,0.021701125532941287,-0.0015860554976939354,-0.007964977711581828,-0.009327772104239688,-0.02613740278381974,-0.014448466921821753,0.012507309006130759,0.00029661911053818654,0.010197419893218257,-0.011212600593011171,-0.004757811680585853,-0.01341391512357771,-0.016570479681999643,-0.002711050735566952,0.011141716054370953,-0.005268097310182372,-0.01968761592784167,-0.006705898376612809,-0.0066922074771578475,-0.02078425654884162,-0.00859268133417026,0.00790994242502507,-0.00248252905449851,0.0001000989043083749,-0.0013555998248551315,0.00917201125720176,-0.0065296249790255615,0.0024677473847391643,0.014294349851430825,0.02264324144773078,-0.032861090017866086,-0.01310476243654068,-0.014641299936333707,-0.02715043710501139,0.009041403880558853,0.0032260452886701675,0.008679156554206046,-0.010832561251070232,-0.050368769577214444,-0.037709993553637744
SYNPCC7942_RS00040,0.009734778217193736,-0.0018591841108928306,0.014110424988345303,-0.009691127967296594,-0.002228382215463437,-0.0004923948110728126,0.011303664152913966,0.01288167132684942,-0.007574365818374927,-0.007439810674233483,0.01733836332296539,-0.016686597956878543,0.018385916925254115,-0.01845608392266419,-0.01868687506568363,0.007997410508117758,0.012663843888421691,-0.001549034381721586,0.009763783806529142,0.04340016585401887,0.04892336110809608,0.010378579870631822,-0.01624440224479925,-0.018896516372165113,-0.012674187099477305,-0.004042618597589637,-0.0022167446175947268,-0.02040372803693723,0.027415066159636767,0.008288139451572796,-0.00033097692231639375,0.005006166806290743,-0.004579593394837956,0.004741430957657227,-0.010634999914641207,-0.01761943797206985,-0.0018738982452580358,-0.028360580589888197,0.006596981752582705,-0.016400625481939875,-0.022228673922359977,0.0017421062125902499,-0.003491615601026641,0.00451919703642137,0.01990356152061629,0.0028293952206087606,-0.02078594450286539,-0.010642299859338407,-0.0024556932637384123,-0.024229570059671465,0.006736203353798837,-0.013577674887047624,-0.004698968852212354,-0.01675770366281006,-0.03176181914566156,0.015820043539482336,0.00514886006479429,-0.007367820864629729,-0.0025774940668112393,0.0031190512432666584,0.012858691289924522,0.012941907140540358,-0.016883794515434838
SYNPCC7942_RS00045,-0.004059803310476392,-0.007850850259510895,0.06156630447708574,-0.01337291330937423,-0.011305361778350141,0.004976504221733514,-0.007854423477275062,0.00799949101626725,0.00955084306771493,-0.009898886567352968,-0.004786572235162988,-0.008633288060950558,-0.002037443538198842,0.0010399350039549684,-0.012680035309943927,-0.008616058105055713,-0.011904446871439897,0.002537959092671174,0.006015421768725183,-0.010004001229012837,-0.005767188115325122,-0.01296505703176551,0.0003716439614860918,0.01064674854984487,0.004116078411110789,-0.0049374886658225875,-0.008375550304957485,0.018178165533517185,-0.007594875309669092,2.1880581472662318e-05,0.001663323300476951,0.00026349885372899947,-0.009319439647460874,0.00514926481807784,-0.007044290659761176,0.0021974793547455142,-0.005799918568333902,0.005431155727608236,-0.009372636436181301,-0.004037254984931042,-0.015534011155972355,0.003032850751214025,0.00962566679679079,-0.009859764609356073,-0.006846909097773451,-0.007476809052413255,-0.0006231705879616946,-0.006869240822483551,-0.0013101313977979102,0.004417579534683284,-0.009609303332563001,-0.0030653055460408796,0.009484106789441202,-0.009327408747011406,0.02304974635431231,0.010273536375447772,-0.005010060408922329,-0.013538384825953015,0.0029062925333438894,-0.0006401156105393181,0.012628656574315113,0.004154708730593119,0.0017902630900683998
SYNPCC7942_RS00050,-0.02357514350836503,-0.00048735826638140724,-0.004358502777030267,-0.018828102701662585,0.05149518702386738,0.01287349756009805,-0.006384821022551732,-0.003922824205376338,0.0005963603588981594,0.004785964439214126,0.003433233213510272,0.0055813026662391504,0.01661126863644399,-0.0023010153772757636,-0.00014380398245892408,0.01991433615171143,0.02850539391561285,0.0016517660949511286,0.008838067632750623,0.004855347420089845,0.020093964469527558,0.02135584080462454,-0.013218217133651889,-0.0024997734361140857,-0.0159501500069216,-0.004440610161262969,0.0002965316064926251,-0.006670596291828718,0.0036054256312159734,-0.020908673337381316,0.001151541436918639,0.01789833518641759,0.0022996666243066417,-0.009372890554546836,-0.00527100875616217,-0.001495818286884362,0.014361929769514989,0.005294405603118446,0.00027746794609077787,0.007439456570672432,0.016455221291313504,0.004176813147118804,0.0033758476852663254,-0.011755529261985732,0.004816125795805141,0.005975298295830782,0.027671443436825954,0.00786723769635958,-0.01923806377148414,-0.01732721194691374,-0.003581701431955651,0.020775129118380854,-0.03581126287509798,0.005547838261441018,0.008350650073448021,-0.0016618456726974194,0.0062736872957874,0.007684192819409775,0.003209259105445659,0.00016944273333310015,-0.004354815187722163,0.0007461961005775126,-0.007849495346095645
